part_number,manufacturer,family,description,component_type,target_file,verified_url
744101,Wurth Elektronik,WE-SI,WE-SI Leaded Toroidal Storage Choke,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744101.pdf
744102,Wurth Elektronik,WE-SI,WE-SI Leaded Toroidal Storage Choke,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744102.pdf
744103,Wurth Elektronik,WE-SI,WE-SI Leaded Toroidal Storage Choke,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744103.pdf
744104,Wurth Elektronik,WE-SI,WE-SI Leaded Toroidal Storage Choke,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744104.pdf
744105,Wurth Elektronik,WE-SI,WE-SI Leaded Toroidal Storage Choke,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744105.pdf
744106,Wurth Elektronik,WE-SI,WE-SI Leaded Toroidal Storage Choke,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744106.pdf
744107,Wurth Elektronik,WE-SI,WE-SI Leaded Toroidal Storage Choke,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744107.pdf
744111,Wurth Elektronik,WE-SI,WE-SI Leaded Toroidal Storage Choke,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744111.pdf
7441110,Wurth Elektronik,WE-SI,WE-SI Leaded Toroidal Storage Choke,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/7441110.pdf
744112,Wurth Elektronik,WE-SI,WE-SI Leaded Toroidal Storage Choke,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744112.pdf
744113,Wurth Elektronik,WE-SI,WE-SI Leaded Toroidal Storage Choke,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744113.pdf
744114,Wurth Elektronik,WE-SI,WE-SI Leaded Toroidal Storage Choke,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744114.pdf
744115,Wurth Elektronik,WE-SI,WE-SI Leaded Toroidal Storage Choke,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744115.pdf
744116,Wurth Elektronik,WE-SI,WE-SI Leaded Toroidal Storage Choke,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744116.pdf
744117,Wurth Elektronik,WE-SI,WE-SI Leaded Toroidal Storage Choke,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744117.pdf
744118,Wurth Elektronik,WE-SI,WE-SI Leaded Toroidal Storage Choke,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744118.pdf
744119,Wurth Elektronik,WE-SI,WE-SI Leaded Toroidal Storage Choke,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744119.pdf
744131,Wurth Elektronik,WE-SI,WE-SI Leaded Toroidal Storage Choke,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744131.pdf
744132,Wurth Elektronik,WE-SI,WE-SI Leaded Toroidal Storage Choke,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744132.pdf
744133,Wurth Elektronik,WE-SI,WE-SI Leaded Toroidal Storage Choke,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744133.pdf
744134,Wurth Elektronik,WE-SI,WE-SI Leaded Toroidal Storage Choke,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744134.pdf
744135,Wurth Elektronik,WE-SI,WE-SI Leaded Toroidal Storage Choke,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744135.pdf
744136,Wurth Elektronik,WE-SI,WE-SI Leaded Toroidal Storage Choke,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744136.pdf
744137,Wurth Elektronik,WE-SI,WE-SI Leaded Toroidal Storage Choke,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744137.pdf
744138,Wurth Elektronik,WE-SI,WE-SI Leaded Toroidal Storage Choke,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744138.pdf
744139,Wurth Elektronik,WE-SI,WE-SI Leaded Toroidal Storage Choke,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744139.pdf
744150,Wurth Elektronik,WE-SI,WE-SI Leaded Toroidal Storage Choke,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744150.pdf
7441501,Wurth Elektronik,WE-SI,WE-SI Leaded Toroidal Storage Choke,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/7441501.pdf
